epoch,model_level,loss,accuracy,train_time,test_time
1,16,0.3395,0.9737,0.1,0.04
1,17,0.3425,1.0,0.11,0.05
1,2,0.3971,0.9231,1.15,0.24
2,2,0.3938,0.9285,0.94,0.2
3,2,0.3889,0.9354,0.94,0.21
4,2,0.3892,0.9333,0.97,0.2
5,2,0.3856,0.9391,0.91,0.19
6,2,0.3796,0.937,0.98,0.21
7,2,0.3812,0.937,0.98,0.24
8,2,0.3793,0.9439,1.02,0.26
9,2,0.381,0.9349,0.92,0.2
10,2,0.378,0.9429,0.94,0.19
11,2,0.383,0.9455,0.91,0.23
12,2,0.3807,0.945,0.92,0.26
13,2,0.3795,0.9455,0.93,0.2
14,2,0.379,0.9434,0.93,0.25
15,2,0.3792,0.9461,0.94,0.24
1,3,0.4048,0.941,0.65,0.19
2,3,0.392,0.9507,0.61,0.18
3,3,0.375,0.9595,0.65,0.19
4,3,0.3752,0.9569,0.61,0.19
5,3,0.3725,0.9621,0.6,0.17
1,4,0.392,0.9533,1.87,0.55
2,4,0.3863,0.9515,1.86,0.56
3,4,0.3813,0.9613,1.86,0.55
1,5,0.3963,0.9273,7.4,2.24
2,5,0.3947,0.9481,7.36,2.24
3,5,0.3839,0.9485,7.32,2.23
4,5,0.3824,0.956,7.34,2.25
5,5,0.3784,0.9644,7.27,2.26
1,6,0.394,0.9363,11.96,3.7
2,6,0.3893,0.9432,11.81,3.71
3,6,0.3829,0.9534,11.91,3.7
4,6,0.38,0.9574,11.85,3.7
5,6,0.3754,0.9585,11.84,3.72
6,6,0.3739,0.9607,11.91,3.72
1,7,0.4156,0.9283,17.34,5.29
2,7,0.3985,0.9338,17.23,5.31
3,7,0.3898,0.9494,17.17,5.3
4,7,0.3864,0.9527,17.26,5.3
5,7,0.3825,0.9578,17.24,5.32
6,7,0.3789,0.9613,17.22,5.31
1,8,0.4131,0.9356,5.86,1.86
2,8,0.3932,0.939,5.78,1.86
3,8,0.3897,0.9488,5.8,1.87
4,8,0.3785,0.953,5.81,1.87
5,8,0.3754,0.9613,5.81,1.87
1,9,0.4206,0.9189,9.95,3.15
2,9,0.4005,0.9358,9.66,3.15
3,9,0.3948,0.9432,9.67,3.14
4,9,0.3924,0.941,9.68,3.14
5,9,0.3874,0.956,9.67,3.16
6,9,0.3857,0.9493,9.68,3.14
7,9,0.3834,0.9564,9.68,3.14
8,9,0.382,0.9584,9.67,3.15
9,9,0.377,0.9555,9.69,3.15
10,9,0.3769,0.9677,9.67,3.15
1,10,0.4194,0.9347,3.29,1.0
2,10,0.4032,0.9253,3.22,0.99
3,10,0.3984,0.9499,3.26,1.0
4,10,0.392,0.9516,3.23,0.99
5,10,0.3834,0.9639,3.26,1.0
1,11,0.3967,0.9492,0.92,0.35
2,11,0.3775,0.9538,0.92,0.34
3,11,0.3692,0.9676,0.92,0.34
1,12,0.4325,0.8857,0.69,0.33
2,12,0.4286,0.8918,0.69,0.33
3,12,0.4128,0.9184,0.69,0.33
4,12,0.3995,0.9306,0.68,0.33
5,12,0.3909,0.9367,0.68,0.33
6,12,0.3826,0.9531,0.68,0.33
7,12,0.3786,0.949,0.68,0.33
8,12,0.3712,0.9469,0.68,0.33
9,12,0.3657,0.9694,0.68,0.33
1,13,0.4809,1.0,0.12,0.02
1,14,0.4436,0.9815,0.12,0.05
1,15,0.3437,0.9259,0.09,0.03
2,15,0.3476,0.963,0.12,0.02
1,16,0.3306,1.0,0.12,0.06
1,17,0.3541,0.9467,0.13,0.1
2,17,0.3747,0.92,0.14,0.1
3,17,0.3759,0.9067,0.13,0.1
4,17,0.4191,0.96,0.13,0.1
5,17,0.3833,0.9867,0.14,0.1
1,2,0.3783,0.9303,1.27,0.24
2,2,0.3805,0.9313,0.98,0.28
3,2,0.4173,0.9332,0.99,0.27
4,2,0.4169,0.9337,1.01,0.28
5,2,0.3791,0.9395,0.98,0.27
6,2,0.381,0.9337,1.01,0.24
7,2,0.4137,0.9337,0.98,0.25
8,2,0.4131,0.9103,1.04,0.22
9,2,0.397,0.9259,1.06,0.26
10,2,0.405,0.9303,1.04,0.27
11,2,0.3988,0.9181,1.01,0.3
12,2,0.3954,0.9171,1.03,0.25
13,2,0.397,0.922,1.1,0.22
14,2,0.4193,0.8893,1.0,0.25
15,2,0.4623,0.8966,1.0,0.25
1,3,0.3753,0.9591,0.6,0.19
2,3,0.3755,0.9607,0.6,0.19
1,4,0.3932,0.9474,2.1,0.64
2,4,0.3901,0.9522,2.09,0.64
3,4,0.3843,0.9602,2.14,0.63
1,5,0.3935,0.9372,8.87,2.69
2,5,0.3869,0.9533,8.9,2.66
3,5,0.3828,0.9574,8.83,2.66
4,5,0.3783,0.957,8.8,2.68
5,5,0.3767,0.9625,8.83,2.69
1,6,0.4062,0.9361,14.79,4.55
2,6,0.3937,0.9388,14.53,4.56
3,6,0.3869,0.9477,14.66,4.56
4,6,0.3823,0.9527,14.69,4.58
5,6,0.3826,0.9538,14.76,4.57
6,6,0.3785,0.9541,14.73,4.57
7,6,0.3782,0.9557,14.71,4.57
8,6,0.3762,0.9605,14.8,4.57
1,7,0.3961,0.9331,23.57,7.13
2,7,0.3904,0.945,23.09,7.12
3,7,0.3869,0.9543,23.08,7.1
4,7,0.3855,0.944,23.08,7.12
5,7,0.3823,0.9563,23.12,7.11
6,7,0.3788,0.9564,23.14,7.14
7,7,0.3762,0.9592,23.14,7.13
8,7,0.3757,0.9599,23.07,7.12
9,7,0.3731,0.9661,23.07,7.12
1,8,0.4027,0.9332,8.75,2.79
2,8,0.3909,0.9472,8.69,2.79
3,8,0.3825,0.9531,8.7,2.8
4,8,0.3792,0.9503,8.68,2.8
5,8,0.3785,0.9547,8.71,2.8
6,8,0.3741,0.9598,8.68,2.8
7,8,0.3714,0.9621,8.66,2.8
1,9,0.4081,0.932,15.62,4.91
2,9,0.399,0.9418,15.47,4.9
3,9,0.3909,0.9417,15.5,4.93
4,9,0.3875,0.9507,15.48,4.92
5,9,0.3863,0.95,15.52,4.9
6,9,0.3841,0.953,15.47,4.89
7,9,0.3802,0.9539,15.46,4.91
8,9,0.3784,0.9545,15.52,4.9
9,9,0.3761,0.9573,15.47,4.92
10,9,0.376,0.9593,15.47,4.9
11,9,0.3761,0.965,15.47,4.92
1,10,0.4229,0.9279,5.09,1.63
2,10,0.4015,0.943,5.04,1.64
3,10,0.3908,0.9528,5.05,1.64
4,10,0.3836,0.9554,5.05,1.64
5,10,0.3763,0.9554,5.05,1.64
6,10,0.3752,0.9743,5.05,1.64
1,11,0.4109,0.9312,1.64,0.49
2,11,0.39,0.9489,1.61,0.5
3,11,0.3851,0.9563,1.63,0.49
4,11,0.3817,0.9619,1.61,0.5
1,12,0.416,0.9435,1.04,0.42
2,12,0.3841,0.9605,1.05,0.42
1,13,0.4239,1.0,0.13,0.02
1,14,0.4077,1.0,0.12,0.06
1,15,0.3398,0.9722,0.09,0.03
1,16,0.3335,0.9831,0.12,0.06
1,17,0.3287,1.0,0.16,0.12
1,2,0.4278,0.8935,1.43,0.25
2,2,0.4197,0.8976,0.97,0.24
3,2,0.4106,0.9116,1.08,0.24
4,2,0.4079,0.9166,1.06,0.23
5,2,0.4046,0.922,1.0,0.24
6,2,0.3985,0.9233,1.04,0.23
7,2,0.3944,0.9287,1.06,0.24
8,2,0.3933,0.926,1.0,0.26
9,2,0.3917,0.9269,0.99,0.32
10,2,0.3913,0.9287,1.01,0.25
11,2,0.3898,0.9296,1.02,0.31
12,2,0.3902,0.9301,1.02,0.24
13,2,0.3894,0.9296,0.99,0.23
14,2,0.3898,0.9274,1.03,0.27
15,2,0.3893,0.9292,1.03,0.24
1,3,0.3872,0.9634,0.77,0.22
1,4,0.3893,0.9542,2.4,0.73
2,4,0.3872,0.9371,2.39,0.73
3,4,0.3856,0.9586,2.45,0.75
4,4,0.3826,0.9508,2.43,0.74
5,4,0.3877,0.9526,2.46,0.75
6,4,0.3804,0.9604,2.44,0.74
1,5,0.3863,0.9581,10.53,3.14
2,5,0.3794,0.9612,10.4,3.17
1,6,0.3925,0.9452,18.16,5.56
2,6,0.3835,0.9509,17.99,5.57
3,6,0.3842,0.9501,18.09,5.58
4,6,0.3793,0.9547,18.03,5.6
5,6,0.3782,0.9578,18.06,5.57
6,6,0.3765,0.9599,18.08,5.58
7,6,0.3761,0.9618,18.02,5.59
1,7,0.395,0.9421,32.46,9.8
2,7,0.3873,0.945,32.12,9.81
3,7,0.3817,0.9505,32.12,9.84
4,7,0.379,0.9611,32.14,9.84
1,8,0.3952,0.9479,11.79,3.65
2,8,0.3832,0.9522,11.73,3.66
3,8,0.3753,0.9576,11.71,3.66
4,8,0.3736,0.9636,11.72,3.68
1,9,0.3912,0.9491,21.91,6.94
2,9,0.3818,0.9564,21.88,6.94
3,9,0.3769,0.9559,21.89,6.95
4,9,0.3757,0.9604,21.88,6.95
1,10,0.3973,0.956,7.2,2.28
2,10,0.3845,0.9577,7.16,2.29
3,10,0.379,0.9635,7.15,2.29
1,11,0.4014,0.9583,2.06,0.67
2,11,0.3774,0.9655,2.03,0.66
1,12,0.4125,0.9316,1.44,0.52
2,12,0.3982,0.9444,1.44,0.52
3,12,0.3794,0.9466,1.44,0.52
4,12,0.3792,0.9498,1.43,0.52
5,12,0.3758,0.9562,1.43,0.52
6,12,0.3648,0.9669,1.43,0.52
1,13,0.391,0.9444,0.12,0.04
2,13,0.3776,1.0,0.11,0.03
1,14,0.3846,0.9882,0.13,0.09
1,15,0.3362,0.9744,0.1,0.04
1,16,0.328,1.0,0.14,0.1
1,17,0.3209,1.0,0.21,0.16
1,2,0.4003,0.9216,1.49,0.32
2,2,0.4041,0.9194,1.23,0.27
3,2,0.4015,0.9203,1.21,0.27
4,2,0.4005,0.9178,1.24,0.31
5,2,0.4015,0.9241,1.15,0.32
6,2,0.396,0.9249,1.2,0.29
7,2,0.3983,0.9241,1.13,0.27
8,2,0.3979,0.9199,1.13,0.25
9,2,0.3964,0.9283,1.14,0.28
10,2,0.395,0.9216,1.11,0.24
11,2,0.3987,0.9258,1.1,0.27
12,2,0.3953,0.9262,1.15,0.25
13,2,0.3924,0.9249,1.14,0.29
14,2,0.3907,0.9258,1.16,0.27
15,2,0.3916,0.9262,1.12,0.31
1,3,0.3742,0.9623,0.72,0.21
1,4,0.3875,0.9493,2.58,0.83
2,4,0.3808,0.9645,2.54,0.83
1,5,0.3891,0.9527,12.12,3.63
2,5,0.3865,0.948,12.01,3.65
3,5,0.3879,0.9518,12.31,3.65
4,5,0.3852,0.958,12.33,3.64
5,5,0.3801,0.963,12.0,3.65
1,6,0.3899,0.948,21.3,6.5
2,6,0.3861,0.9544,21.22,6.51
3,6,0.383,0.9487,21.19,6.53
4,6,0.3796,0.9581,21.21,6.51
5,6,0.3778,0.9555,21.26,6.53
6,6,0.3771,0.9599,21.21,6.54
7,6,0.3769,0.9561,21.23,6.56
8,6,0.3753,0.9614,21.36,6.54
1,7,0.392,0.9486,40.15,12.15
2,7,0.3862,0.9518,39.79,12.17
3,7,0.3827,0.9542,39.89,12.17
4,7,0.3808,0.958,39.88,12.18
5,7,0.3798,0.9602,39.78,12.19
1,8,0.3886,0.9434,15.21,4.73
2,8,0.3788,0.9539,15.15,4.77
3,8,0.3753,0.956,15.12,4.74
4,8,0.375,0.9589,15.12,4.72
5,8,0.3708,0.9658,15.15,4.74
1,9,0.3982,0.935,30.67,9.67
2,9,0.3871,0.9465,30.58,9.67
3,9,0.3819,0.953,30.56,9.7
4,9,0.3798,0.9556,30.58,9.68
5,9,0.3768,0.9539,30.6,9.7
6,9,0.3773,0.9572,30.63,9.68
7,9,0.3762,0.9602,30.59,9.67
1,10,0.4058,0.9371,10.27,3.13
2,10,0.3887,0.9449,10.2,3.15
3,10,0.384,0.9438,10.21,3.13
4,10,0.3853,0.9479,10.2,3.12
5,10,0.3928,0.9455,10.17,3.14
6,10,0.387,0.9393,10.21,3.13
7,10,0.3809,0.9557,10.2,3.14
8,10,0.3804,0.9622,10.19,3.13
1,11,0.389,0.9472,2.91,0.99
2,11,0.3772,0.9542,2.89,0.99
3,11,0.3712,0.9681,2.89,0.99
1,12,0.3819,0.9545,1.87,0.66
2,12,0.3735,0.9694,1.86,0.66
1,13,0.3787,1.0,0.13,0.05
1,14,0.3624,1.0,0.15,0.11
1,15,0.3321,1.0,0.13,0.04
1,16,0.3234,0.9889,0.15,0.11
1,17,0.3245,0.9111,0.23,0.17
2,17,0.3993,0.9926,0.22,0.17
1,2,0.3994,0.9154,1.5,0.32
2,2,0.3988,0.9166,1.21,0.25
3,2,0.3984,0.9203,1.11,0.3
4,2,0.3971,0.9211,1.13,0.27
5,2,0.3985,0.9215,1.18,0.27
6,2,0.3971,0.9239,1.14,0.27
7,2,0.397,0.9215,1.19,0.26
8,2,0.3958,0.9247,1.18,0.29
9,2,0.3965,0.9247,1.16,0.27
10,2,0.3935,0.9267,1.13,0.35
11,2,0.3936,0.9267,1.19,0.32
12,2,0.3941,0.9275,1.17,0.34
13,2,0.3951,0.9263,1.22,0.29
14,2,0.3957,0.9243,1.11,0.26
15,2,0.392,0.9295,1.25,0.29
1,3,0.3884,0.9543,0.8,0.23
2,3,0.3782,0.9597,0.76,0.22
3,3,0.3732,0.9704,0.79,0.22
1,4,0.384,0.9576,2.88,0.91
2,4,0.3804,0.968,2.89,0.89
1,5,0.3847,0.9618,13.68,4.05
1,6,0.3896,0.948,25.23,7.77
2,6,0.3848,0.9507,25.13,7.82
3,6,0.3805,0.9516,25.03,7.78
4,6,0.3787,0.9591,25.07,7.8
5,6,0.3779,0.9594,25.01,7.8
6,6,0.3781,0.9561,25.05,7.84
7,6,0.3763,0.961,25.05,7.81
1,7,0.3915,0.9402,54.52,15.59
2,7,0.3851,0.9557,51.16,15.55
3,7,0.3814,0.9585,51.15,15.61
4,7,0.3808,0.9575,51.19,15.62
5,7,0.3793,0.9629,51.2,15.62
1,8,0.3794,0.958,17.83,5.61
2,8,0.3757,0.9546,17.7,5.63
3,8,0.3709,0.963,17.74,5.61
1,9,0.3875,0.9528,39.12,12.32
2,9,0.3787,0.9582,38.89,12.34
3,9,0.3732,0.9619,38.92,12.33
1,10,0.3937,0.9471,13.08,4.04
2,10,0.383,0.9681,12.99,4.03
1,11,0.3692,0.9704,3.55,1.12
1,12,0.3923,0.9419,2.31,0.82
2,12,0.379,0.9639,2.31,0.81
1,13,0.3513,0.9818,0.12,0.05
1,14,0.3699,1.0,0.17,0.13
1,15,0.3313,1.0,0.11,0.05
1,16,0.3248,0.9909,0.18,0.13
1,17,0.3187,0.9506,0.27,0.2
2,17,0.3599,0.8951,0.26,0.2
3,17,0.4119,0.9444,0.27,0.2
4,17,0.3872,0.9877,0.27,0.2
1,2,0.3912,0.9295,1.51,0.3
2,2,0.3915,0.9275,1.08,0.25
3,2,0.3925,0.9279,1.09,0.26
4,2,0.3916,0.9259,1.13,0.25
5,2,0.3935,0.9295,1.22,0.27
6,2,0.3914,0.9307,1.18,0.25
7,2,0.3928,0.9319,1.15,0.31
8,2,0.3929,0.9283,1.13,0.32
9,2,0.3916,0.9291,1.17,0.3
10,2,0.3914,0.9291,1.16,0.26
11,2,0.3916,0.9295,1.18,0.29
12,2,0.391,0.9295,1.17,0.27
13,2,0.3924,0.9291,1.07,0.31
14,2,0.391,0.9255,1.09,0.26
15,2,0.3899,0.9295,1.05,0.27
1,3,0.3676,0.9683,0.87,0.26
1,4,0.3845,0.9615,3.34,0.98
1,5,0.3876,0.9555,14.43,4.41
2,5,0.3828,0.9653,14.63,4.4
1,6,0.3848,0.9505,28.1,8.56
2,6,0.382,0.9553,27.96,8.61
3,6,0.3808,0.9556,27.89,8.6
4,6,0.3809,0.9573,27.92,8.62
5,6,0.3789,0.9576,27.98,8.6
6,6,0.3778,0.9577,27.92,8.61
7,6,0.3776,0.9625,27.91,8.64
1,7,0.3917,0.9498,59.7,18.19
2,7,0.3852,0.9533,59.19,18.18
3,7,0.3825,0.9591,59.25,18.17
4,7,0.381,0.9551,59.25,18.18
5,7,0.3815,0.9599,59.15,18.2
6,7,0.3787,0.962,59.25,18.21
1,8,0.3776,0.9549,20.88,6.51
2,8,0.3731,0.9562,20.81,6.51
3,8,0.3726,0.9618,20.82,6.52
1,9,0.3883,0.9474,49.76,15.68
2,9,0.3809,0.9531,49.53,15.67
3,9,0.3786,0.9554,49.56,15.69
4,9,0.3758,0.9581,49.49,15.64
5,9,0.3733,0.9626,49.53,15.66
1,10,0.3921,0.9531,16.33,5.15
2,10,0.382,0.9571,16.28,5.13
3,10,0.3785,0.9573,16.24,5.14
4,10,0.3757,0.9571,16.3,5.15
5,10,0.3731,0.9621,16.28,5.14
1,11,0.3776,0.9566,4.32,1.32
2,11,0.3722,0.9607,4.32,1.35
1,12,0.3847,0.9422,2.62,0.85
2,12,0.3801,0.9562,2.61,0.84
3,12,0.3699,0.9714,2.61,0.85
1,13,0.375,0.9818,0.12,0.04
1,14,0.3457,0.9925,0.18,0.14
1,15,0.3274,0.9825,0.12,0.06
1,16,0.3181,0.9919,0.2,0.15
1,17,0.3336,0.9946,0.31,0.23
1,2,0.3997,0.9197,1.56,0.29
2,2,0.3973,0.9212,1.28,0.35
3,2,0.3997,0.9201,1.34,0.31
4,2,0.4002,0.9231,1.3,0.35
5,2,0.4006,0.9201,1.38,0.28
6,2,0.3981,0.9193,1.32,0.31
7,2,0.397,0.9216,1.3,0.28
8,2,0.3984,0.9208,1.25,0.28
9,2,0.3968,0.9182,1.31,0.3
10,2,0.4009,0.9197,1.27,0.3
11,2,0.3995,0.9171,1.32,0.33
12,2,0.3985,0.9175,1.24,0.32
13,2,0.4013,0.9216,1.3,0.29
14,2,0.3987,0.9205,1.25,0.31
15,2,0.399,0.9231,1.28,0.27
1,3,0.3722,0.962,0.88,0.24
1,4,0.3816,0.9646,3.37,1.05
1,5,0.3834,0.9602,15.69,4.74
1,6,0.3825,0.9571,31.13,9.61
2,6,0.3787,0.9602,31.15,9.63
1,7,0.388,0.9566,72.07,21.87
2,7,0.3817,0.9587,71.81,21.86
3,7,0.3797,0.9604,71.95,21.85
1,8,0.3759,0.9605,23.95,7.51
1,9,0.3806,0.9534,61.39,19.28
2,9,0.3761,0.9591,60.67,19.25
3,9,0.3734,0.9646,60.64,19.29
1,10,0.3869,0.9596,20.1,6.21
2,10,0.3775,0.9582,19.98,6.22
3,10,0.3763,0.9629,19.99,6.24
1,11,0.3733,0.9495,5.08,1.58
2,11,0.3695,0.9712,5.08,1.58
1,12,0.3789,0.9546,3.4,1.04
2,12,0.3762,0.957,3.41,1.06
3,12,0.3628,0.9643,3.4,1.03
1,13,0.3608,1.0,0.13,0.04
1,14,0.3357,0.9932,0.2,0.15
1,15,0.3275,0.9833,0.14,0.05
1,16,0.3191,0.9932,0.23,0.17
1,17,0.3224,0.9909,0.66,0.28
